DATE,CPIAUCSL_NBD20080101
2008-01-01,100.00000
2009-01-01,99.67964
2010-01-01,101.31097
2011-01-01,104.49178
2012-01-01,106.65810
2013-01-01,108.22167
2014-01-01,109.96601
2015-01-01,110.09899
2016-01-01,111.49900
2017-01-01,113.88358
